Method,Accuracy
LogisticReression,0.7272727272727273
DecisionTreeClassifier,0.6753246753246753
RandomForestClassifier,0.7207792207792207
SVC,0.7207792207792207
KNeighborsClassifier,0.6948051948051948
XGBClassifier,0.7532467532467533
GaussianNB,0.7012987012987013
VotingClassifier,0.7337662337662337
